Day,Hour,Value
-1,-1,1
6,2,1
8,17,1
10,13,1
10,14,1
10,15,1
11,2,1
11,9,1
11,15,1
11,20,1
11,23,1
12,0,1
12,12,1
12,13,1
12,18,1
12,22,1
12,23,2
13,1,1
13,17,1
14,0,1
14,3,1
14,17,1
15,1,1
15,13,1
15,14,1
15,15,1
15,19,1
15,21,1
16,0,1
16,2,1
16,5,1
16,11,1
16,12,1
16,13,2
16,15,3
16,16,1
16,17,1
16,18,1
16,19,2
16,21,2
16,23,1
17,0,1
17,1,1
17,10,2
17,12,3
17,14,2
17,15,1
17,18,1
17,20,1
17,21,1
17,22,1
18,2,1
18,5,1
18,8,1
18,9,2
18,10,1
18,11,2
18,12,4
18,13,5
18,14,1
18,15,1
18,16,1
18,18,3
18,20,1
18,22,1
19,2,2
19,3,1
19,7,1
19,8,1
19,9,1
19,10,1
19,11,6
19,12,2
19,14,1
19,16,1
19,17,2
19,19,1
19,21,2
19,22,1
19,23,2
20,1,2
20,6,1
20,12,1
20,16,2
20,18,1
20,21,2
20,23,2
21,0,2
21,15,1
21,18,1
21,21,1
21,23,1
22,2,1
22,7,1
22,10,7
22,11,6
22,12,1
22,13,6
22,14,8
22,15,2
22,17,2
22,18,2
22,19,1
22,20,1
22,21,2
22,22,1
23,1,1
23,2,1
23,4,1
23,8,1
23,9,1
23,10,4
23,11,4
23,12,1
23,13,2
23,14,4
23,15,2
23,16,3
23,17,1
23,20,1
23,21,1
23,22,1
24,4,1
24,7,1
24,8,5
24,9,1
24,10,4
24,11,5
24,12,5
24,13,4
24,14,5
24,15,4
24,16,2
24,17,1
24,20,1
24,21,2
25,0,3
25,5,1
25,8,1
25,9,5
25,10,1
25,11,4
25,12,2
25,13,6
25,14,1
25,15,3
25,16,2
25,18,2
26,4,1
26,7,3
26,8,4
26,9,6
26,10,6
26,11,4
26,12,1
26,13,2
26,14,5
26,15,3
26,16,1
26,18,1
26,19,2
26,21,3
26,22,1
27,1,1
27,3,1
27,5,1
27,12,1
27,16,1
27,22,1
